sale_id,customer_id,product_id,sale_date,quantity,unit_price,total_amount,region
448467,4,102,2025-07-04T00:00:00,1,900,900,North America
448468,5,105,2025-07-05T00:00:00,2,350,700,Europe
448469,1,101,2025-07-01T00:00:00,2,1200,2400,North America
448470,2,103,2025-07-02T00:00:00,1,200,200,North America
448471,3,104,2025-07-03T00:00:00,3,50,150,Latin America
448472,4,102,2025-07-04T00:00:00,1,900,900,North America
448473,5,105,2025-07-05T00:00:00,2,350,700,Europe
448474,1,101,2025-07-01T00:00:00,2,1200,2400,North America
448475,2,103,2025-07-02T00:00:00,1,200,200,North America
448476,3,104,2025-07-03T00:00:00,3,50,150,Latin America
448477,4,102,2025-07-04T00:00:00,1,900,900,North America
448479,1,101,2025-07-01T00:00:00,2,1200,2400,North America
448482,4,102,2025-07-04T00:00:00,1,900,900,North America
448485,2,103,2025-07-02T00:00:00,1,200,200,North America
448488,5,105,2025-07-05T00:00:00,2,350,700,Europe
448491,3,104,2025-07-03T00:00:00,3,50,150,Latin America
448494,1,101,2025-07-01T00:00:00,2,1200,2400,North America
448498,5,105,2025-07-05T00:00:00,2,350,700,Europe
448501,3,104,2025-07-03T00:00:00,3,50,150,Latin America
448504,1,101,2025-07-01T00:00:00,2,1200,2400,North America
448507,4,102,2025-07-04T00:00:00,1,900,900,North America
448510,2,103,2025-07-02T00:00:00,1,200,200,North America
448513,5,105,2025-07-05T00:00:00,2,350,700,Europe
448516,3,104,2025-07-03T00:00:00,3,50,150,Latin America
448520,2,103,2025-07-02T00:00:00,1,200,200,North America
448523,5,105,2025-07-05T00:00:00,2,350,700,Europe
448526,3,104,2025-07-03T00:00:00,3,50,150,Latin America
448529,4,102,2025-07-04T00:00:00,1,900,900,North America
448532,5,105,2025-07-05T00:00:00,2,350,700,Europe
448535,3,104,2025-07-03T00:00:00,3,50,150,Latin America
448539,2,103,2025-07-02T00:00:00,1,200,200,North America
448542,5,105,2025-07-05T00:00:00,2,350,700,Europe
448545,3,104,2025-07-03T00:00:00,3,50,150,Latin America
448548,1,101,2025-07-01T00:00:00,2,1200,2400,North America
448551,4,102,2025-07-04T00:00:00,1,900,900,North America
448554,2,103,2025-07-02T00:00:00,1,200,200,North America
448558,1,101,2025-07-01T00:00:00,2,1200,2400,North America
448561,4,102,2025-07-04T00:00:00,1,900,900,North America
448564,2,103,2025-07-02T00:00:00,1,200,200,North America
448567,5,105,2025-07-05T00:00:00,2,350,700,Europe
448570,3,104,2025-07-03T00:00:00,3,50,150,Latin America
448573,1,101,2025-07-01T00:00:00,2,1200,2400,North America
448577,5,105,2025-07-05T00:00:00,2,350,700,Europe
448580,3,104,2025-07-03T00:00:00,3,50,150,Latin America
448583,1,101,2025-07-01T00:00:00,2,1200,2400,North America
448586,4,102,2025-07-04T00:00:00,1,900,900,North America
448589,2,103,2025-07-02T00:00:00,1,200,200,North America
448592,5,105,2025-07-05T00:00:00,2,350,700,Europe
448595,3,104,2025-07-03T00:00:00,3,50,150,Latin America
448599,2,103,2025-07-02T00:00:00,1,200,200,North America
448602,5,105,2025-07-05T00:00:00,2,350,700,Europe
448605,3,104,2025-07-03T00:00:00,3,50,150,Latin America
448608,1,101,2025-07-01T00:00:00,2,1200,2400,North America
448611,4,102,2025-07-04T00:00:00,1,900,900,North America
448615,2,103,2025-07-02T00:00:00,1,200,200,North America
448618,5,105,2025-07-05T00:00:00,2,350,700,Europe
448621,1,101,2025-07-01T00:00:00,2,1200,2400,North America
448624,4,102,2025-07-04T00:00:00,1,900,900,North America
448627,2,103,2025-07-02T00:00:00,1,200,200,North America
448630,5,105,2025-07-05T00:00:00,2,350,700,Europe
448632,2,103,2025-07-02T00:00:00,1,200,200,North America
448633,3,104,2025-07-03T00:00:00,3,50,150,Latin America
448634,4,102,2025-07-04T00:00:00,1,900,900,North America
448635,5,105,2025-07-05T00:00:00,2,350,700,Europe
448636,1,101,2025-07-01T00:00:00,2,1200,2400,North America
448637,2,103,2025-07-02T00:00:00,1,200,200,North America
448638,3,104,2025-07-03T00:00:00,3,50,150,Latin America
448639,4,102,2025-07-04T00:00:00,1,900,900,North America
448640,5,105,2025-07-05T00:00:00,2,350,700,Europe
448641,1,101,2025-07-01T00:00:00,2,1200,2400,North America
448642,2,103,2025-07-02T00:00:00,1,200,200,North America
448644,4,102,2025-07-04T00:00:00,1,900,900,North America
448647,2,103,2025-07-02T00:00:00,1,200,200,North America
448650,5,105,2025-07-05T00:00:00,2,350,700,Europe
448654,4,102,2025-07-04T00:00:00,1,900,900,North America
448657,2,103,2025-07-02T00:00:00,1,200,200,North America
448660,5,105,2025-07-05T00:00:00,2,350,700,Europe
448663,2,103,2025-07-02T00:00:00,1,200,200,North America
448666,5,105,2025-07-05T00:00:00,2,350,700,Europe
448669,4,102,2025-07-04T00:00:00,1,900,900,North America
448672,2,103,2025-07-02T00:00:00,1,200,200,North America
