customer_id,product_id,quantity,region,sale_date,sale_id,total_amount,unit_price
4,102,1,North America,2025-07-04T00:00:00,448467,900,900
5,105,2,Europe,2025-07-05T00:00:00,448468,700,350
1,101,2,North America,2025-07-01T00:00:00,448469,2400,1200
2,103,1,North America,2025-07-02T00:00:00,448470,200,200
3,104,3,Latin America,2025-07-03T00:00:00,448471,150,50
4,102,1,North America,2025-07-04T00:00:00,448472,900,900
5,105,2,Europe,2025-07-05T00:00:00,448473,700,350
1,101,2,North America,2025-07-01T00:00:00,448474,2400,1200
2,103,1,North America,2025-07-02T00:00:00,448475,200,200
3,104,3,Latin America,2025-07-03T00:00:00,448476,150,50
4,102,1,North America,2025-07-04T00:00:00,448477,900,900
1,101,2,North America,2025-07-01T00:00:00,448479,2400,1200
4,102,1,North America,2025-07-04T00:00:00,448482,900,900
2,103,1,North America,2025-07-02T00:00:00,448485,200,200
5,105,2,Europe,2025-07-05T00:00:00,448488,700,350
3,104,3,Latin America,2025-07-03T00:00:00,448491,150,50
1,101,2,North America,2025-07-01T00:00:00,448494,2400,1200
5,105,2,Europe,2025-07-05T00:00:00,448498,700,350
3,104,3,Latin America,2025-07-03T00:00:00,448501,150,50
1,101,2,North America,2025-07-01T00:00:00,448504,2400,1200
4,102,1,North America,2025-07-04T00:00:00,448507,900,900
2,103,1,North America,2025-07-02T00:00:00,448510,200,200
5,105,2,Europe,2025-07-05T00:00:00,448513,700,350
3,104,3,Latin America,2025-07-03T00:00:00,448516,150,50
2,103,1,North America,2025-07-02T00:00:00,448520,200,200
5,105,2,Europe,2025-07-05T00:00:00,448523,700,350
3,104,3,Latin America,2025-07-03T00:00:00,448526,150,50
4,102,1,North America,2025-07-04T00:00:00,448529,900,900
5,105,2,Europe,2025-07-05T00:00:00,448532,700,350
3,104,3,Latin America,2025-07-03T00:00:00,448535,150,50
2,103,1,North America,2025-07-02T00:00:00,448539,200,200
5,105,2,Europe,2025-07-05T00:00:00,448542,700,350
3,104,3,Latin America,2025-07-03T00:00:00,448545,150,50
1,101,2,North America,2025-07-01T00:00:00,448548,2400,1200
4,102,1,North America,2025-07-04T00:00:00,448551,900,900
2,103,1,North America,2025-07-02T00:00:00,448554,200,200
1,101,2,North America,2025-07-01T00:00:00,448558,2400,1200
4,102,1,North America,2025-07-04T00:00:00,448561,900,900
2,103,1,North America,2025-07-02T00:00:00,448564,200,200
5,105,2,Europe,2025-07-05T00:00:00,448567,700,350
3,104,3,Latin America,2025-07-03T00:00:00,448570,150,50
1,101,2,North America,2025-07-01T00:00:00,448573,2400,1200
5,105,2,Europe,2025-07-05T00:00:00,448577,700,350
3,104,3,Latin America,2025-07-03T00:00:00,448580,150,50
1,101,2,North America,2025-07-01T00:00:00,448583,2400,1200
4,102,1,North America,2025-07-04T00:00:00,448586,900,900
2,103,1,North America,2025-07-02T00:00:00,448589,200,200
5,105,2,Europe,2025-07-05T00:00:00,448592,700,350
3,104,3,Latin America,2025-07-03T00:00:00,448595,150,50
2,103,1,North America,2025-07-02T00:00:00,448599,200,200
5,105,2,Europe,2025-07-05T00:00:00,448602,700,350
3,104,3,Latin America,2025-07-03T00:00:00,448605,150,50
1,101,2,North America,2025-07-01T00:00:00,448608,2400,1200
4,102,1,North America,2025-07-04T00:00:00,448611,900,900
2,103,1,North America,2025-07-02T00:00:00,448615,200,200
5,105,2,Europe,2025-07-05T00:00:00,448618,700,350
1,101,2,North America,2025-07-01T00:00:00,448621,2400,1200
4,102,1,North America,2025-07-04T00:00:00,448624,900,900
2,103,1,North America,2025-07-02T00:00:00,448627,200,200
5,105,2,Europe,2025-07-05T00:00:00,448630,700,350
2,103,1,North America,2025-07-02T00:00:00,448632,200,200
3,104,3,Latin America,2025-07-03T00:00:00,448633,150,50
4,102,1,North America,2025-07-04T00:00:00,448634,900,900
5,105,2,Europe,2025-07-05T00:00:00,448635,700,350
1,101,2,North America,2025-07-01T00:00:00,448636,2400,1200
2,103,1,North America,2025-07-02T00:00:00,448637,200,200
3,104,3,Latin America,2025-07-03T00:00:00,448638,150,50
4,102,1,North America,2025-07-04T00:00:00,448639,900,900
5,105,2,Europe,2025-07-05T00:00:00,448640,700,350
1,101,2,North America,2025-07-01T00:00:00,448641,2400,1200
2,103,1,North America,2025-07-02T00:00:00,448642,200,200
4,102,1,North America,2025-07-04T00:00:00,448644,900,900
2,103,1,North America,2025-07-02T00:00:00,448647,200,200
5,105,2,Europe,2025-07-05T00:00:00,448650,700,350
4,102,1,North America,2025-07-04T00:00:00,448654,900,900
